title, url, img, ingredient
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","garlic, minced"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","dried thyme"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","cannellini beans, drained"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","sun dried tomatoes in oil"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","apple cider vinegar"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","dried basil"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","salt"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","freshly cracked pepper"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","red pepper flakes"
"Sun Dried Tomato, Kale, and White Bean Skillet","https://www.budgetbytes.com/sun-dried-tomato-kale-and-white-bean-skillet/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Plate-of-Sun-Dried-Tomato-Kale-and-White-Bean-Skillet-347x260.jpg","olive oil"
